BubbleSort; BubbleSortOtimizado; SelectionSort; SelectionSortOtimizado; InsertionSort; BucketSort
6.18601e+08;3.11321e+08;2.82799e+08;3.0864e+08;1.46443e+08;3.13002e+07
5.80855e+08;3.02202e+08;2.55459e+08;2.94119e+08;1.38018e+08;3.01588e+07
5.74187e+08;3.06484e+08;2.55472e+08;2.86576e+08;1.38174e+08;2.9503e+07
5.81432e+08;2.9936e+08;2.54751e+08;2.9023e+08;1.394e+08;2.93184e+07
5.80543e+08;3.03031e+08;2.55175e+08;2.89583e+08;1.3741e+08;2.95036e+07
5.81106e+08;3.01378e+08;2.57131e+08;2.87981e+08;1.38168e+08;2.99901e+07
5.74263e+08;3.0574e+08;2.56602e+08;2.89817e+08;1.39962e+08;3.13116e+07
5.71795e+08;3.01501e+08;2.6233e+08;2.92408e+08;1.39113e+08;2.97936e+07
5.94673e+08;3.1447e+08;2.57962e+08;2.89819e+08;1.39538e+08;2.96026e+07
5.82046e+08;3.04781e+08;2.56261e+08;3.07588e+08;1.39973e+08;3.18499e+07
5.9953e+08;3.19719e+08;2.72192e+08;3.11147e+08;1.45076e+08;3.28503e+07
6.42465e+08;3.25585e+08;2.61221e+08;3.11744e+08;1.43804e+08;3.1255e+07
6.43617e+08;3.20161e+08;2.8316e+08;3.05516e+08;1.45199e+08;3.2438e+07
5.94461e+08;3.02493e+08;2.75266e+08;2.94684e+08;1.41082e+08;3.10858e+07
6.54858e+08;3.25747e+08;2.69561e+08;3.2604e+08;1.58758e+08;3.33002e+07
5.96881e+08;3.2676e+08;2.64022e+08;2.95328e+08;1.38972e+08;2.96128e+07
6.01283e+08;3.15706e+08;2.63386e+08;3.05471e+08;1.51444e+08;3.13488e+07
5.91895e+08;3.36301e+08;3.00685e+08;3.45418e+08;1.65454e+08;4.17457e+07
6.13652e+08;3.06972e+08;2.58615e+08;2.86876e+08;1.41402e+08;2.96497e+07
5.77927e+08;3.081e+08;2.59276e+08;2.9084e+08;1.38929e+08;3.27431e+07
5.82376e+08;3.02129e+08;2.57316e+08;2.87819e+08;1.3673e+08;2.93278e+07
5.72923e+08;2.99731e+08;2.54148e+08;2.95073e+08;1.42092e+08;3.26158e+07
6.22285e+08;3.08155e+08;2.706e+08;2.97021e+08;1.70758e+08;3.19108e+07
5.87504e+08;3.10265e+08;2.57964e+08;2.91834e+08;1.38315e+08;3.05778e+07
6.2435e+08;3.12951e+08;2.9205e+08;2.96865e+08;1.48392e+08;3.07636e+07
5.92395e+08;3.05669e+08;2.68111e+08;2.93908e+08;1.38871e+08;2.97687e+07
5.7088e+08;3.06477e+08;2.55127e+08;3.02634e+08;1.44606e+08;2.98916e+07
6.28375e+08;3.17117e+08;2.65642e+08;3.00616e+08;1.38916e+08;3.17234e+07
5.79788e+08;3.05503e+08;2.54981e+08;2.87256e+08;1.38147e+08;2.99979e+07
5.72757e+08;2.99699e+08;2.55396e+08;2.87372e+08;1.40677e+08;2.96903e+07
5.80471e+08;3.05022e+08;2.64783e+08;3.02388e+08;1.44362e+08;3.2784e+07
5.99282e+08;3.18706e+08;2.64849e+08;2.94889e+08;1.44152e+08;3.14048e+07
6.1834e+08;3.20142e+08;2.58136e+08;3.03303e+08;1.40245e+08;2.97937e+07
5.71444e+08;3.03781e+08;2.58879e+08;2.899e+08;1.36123e+08;2.94682e+07
6.03516e+08;3.0413e+08;2.61696e+08;3.07997e+08;1.44226e+08;3.16008e+07
